,control
ATP10A,0.11808847203400538
ATP11A,1.757200060813988
ATP13A1,1.1668989960200347
ATP13A2,0.7633817186518146
ATP13A3,1.7528772741714973
ATP13A5_AS1,2.508424843795442
ATP1A1,1.767999974421396
ATP1A2,7.626650702003774
ATP1B1,7.061626960811662
ATP1B2,1.5445206188182978
ATP1B3,2.663525590519331
ATP1B4,3.743378914948436
ATP2A1,10.483889825670698
ATP2A1_AS1,6.722004614147773
ATP2A2,9.01611942920158
ATP2A3,0.6426588131951256
ATP2B1,1.8172663137285454
ATP2B2,0.7502703416087182
ATP2B4,1.8028305335389092
ATP5A1,7.1546125734429715
ATP5B,9.043057932394882
ATP5C1,4.184907366438298
ATP5D,7.175650968325263
ATP5EP2,5.640536316304883
ATP5G1,7.093303973819479
ATP5G2,6.444350845965495
ATP5G3,3.9935414801016815
ATP5H,7.3116883620561595
ATP5J,5.43830125895604
ATP5J2,6.077062700115748
ATP5L2,2.036885889661302
ATP5O,6.6749309024839
ATP5S,2.4439498740257157
ATP6AP1,4.353146626673779
ATP6AP1L,1.049014755592938
ATP6AP2,2.908314527072571
ATP6V0A1,3.5026633214358966
ATP6V0B,3.5926750338102122
ATP6V0C,7.315238139517156
ATP6V0E1,5.571543191763661
ATP6V0E2,2.1359628896730833
ATP6V1A,2.0240846969597817
ATP6V1B2,3.798179644307173
ATP6V1C2,1.6609902112259394
ATP6V1E1,5.200390355273796
ATP6V1F,5.096825932332958
ATP6V1G2,0.8053749546155469
ATP6V1G2_DDX39B,4.4690442675552084
ATP6V1H,0.7859518415794442
ATP8A1,2.5259738355589167
ATP8B2,0.9053690717103324
ATP8B5P,1.447243620802153
ATP9A,2.2320305543414865
ATPAF1,5.882923707928118
ATPAF2,2.540783152604462
ATPIF1,5.337973474243057
ATRAID,4.676060260283485
ATRX,0.427563359038297
ATXN1,2.5355152262274006
ATXN1L,1.867534248366923
ATXN2,1.529932252168022
ATXN2L,2.631270385071769
ATXN7L2,3.0521119989653123
ATXN7L3,2.040780262573861
AUH,2.7329219649888916
AUP1,3.723346863396346
AURKA,1.4209664166218938
AURKAIP1,5.350141066395704
AURKB,0.0
AUTS2,1.6541157489604128
AVEN,3.0485118451061153
AVIL,1.9275064971531775
AVPI1,1.476812149879731
AVPR2,1.0044327239415585
AXIN1,2.197419811303442
AXL,1.4604957668745047
AZGP1,0.0
AZI2,1.8641176908540915
AZIN1,2.807778480406614
AZIN2,0.3051195303838036
B2M,8.658375583728096
B3GALT4,1.0043016118826145
B3GALT6,2.127934394585542
B3GAT3,1.530034731380956
B3GNT2,1.2497374402003973
B3GNT5,1.4255162099123493
B3GNT7,0.09924305354045931
B3GNT9,0.7031091952020836
B3GNTL1,0.7034539097225749
B4GALNT1,0.8611772539087386
B4GALT1,3.056549100023568
B4GALT2,3.7971015418596323
B4GALT3,2.384378002854079
B4GALT4,1.5339476993918633
B4GALT5,3.86982358098643
B4GALT7,2.7215346849370157
B4GAT1,3.9165250731238475
B9D1,0.8391563295842956
B9D2,0.43688393997737474
BABAM1,4.726827146788103
BACE1,1.8183534099332541
BACE1_AS,2.014852265874085
BACE2,0.7689413396570357
BACH1,1.7886574385640985
BAD,2.9179008423124406
BAG1,3.4466337952996664
BAG2,3.564006139228857
BAG3,7.196602195097834
BAG5,2.4821797836287285
BAG6,4.428984062301916
BAIAP2,0.4099967799673694
BAK1,1.4300731124104438
BAMBI,1.114188577172468
BANF1,6.589832545827694
BANP,1.3973216614915072
BASP1,1.3551342593998914
BATF,0.0
BATF2,1.4193466746194343
BATF3,0.3230311019597386
BAX,2.116940666442479
BAZ1A,0.944494268525151
BAZ1B,2.5434204405048817
BAZ2A,1.2567822981656778
BAZ2B,1.352362186001712
BBC3,1.0749919056807093
BBIP1,1.7623996327252742
BBS10,1.736808107884496
BBS2,2.2734543097188467
BBX,1.4222314400896272
BCAM,2.2384088405540172
BCAP29,2.913058605280874
BCAP31,3.2735599780492173
BCAR1,3.8723433362554
BCAR3,2.318592324088649
BCAS1,0.0
BCAS2,4.077242780756068
BCAT2,3.0570373971998466
BCCIP,3.7015100092180635
BCHE,1.2221565024824534
BCKDHA,4.696012630404834
BCKDK,3.630019378872122
BCL10,1.1635048252514706
BCL2,3.0384086462790263
BCL2A1,0.0
BCL2L1,2.6000710230219166
BCL2L11,1.6920837624049683
BCL2L12,1.8540842751566062
BCL2L13,3.8573452939706554
BCL2L2,2.463411449334037
BCL3,1.3954922849419331
BCL6,5.693876176648163
BCL6B,1.2312058804336186
BCL7A,2.548692649689025
BCL7B,4.697687224241306
BCL7C,2.390385772867763
BCL9L,2.6575106701575164
BCLAF1,2.700505918964389
BCO2,1.4179178402963042
BCOR,1.8473124433104045
BCS1L,2.7907005163800402
BDH1,2.1286302356980076
BDH2,1.50149018196963
BDKRB1,0.0
BDKRB2,0.23679057033932976
BECN1,0.3321246747924019
BEGAIN,0.2953524071564715
BEND5,1.2259062065817314
BEND7,2.438087077929076
BEST3,3.289718243150923
BET1L,1.4676556097849431
BEX1,0.182312293722861
BEX2,1.258475498274505
BEX4,2.0162330938975703
BGLAP,0.0
BGN,3.3132241233492836
BHLHE40,5.28801652616619
BHLHE41,5.086254782713741
BHMT2,2.1740612872429432
BICC1,1.374652052007461
BICD2,2.618362943661281
BID,2.9413736755785846
BIN1,7.585687666361725
BIN2,0.24652822374358396
BIN3,1.1978982214695102
BIRC2,3.127711810642149
BIRC3,0.3500350348045448
BIRC5,0.057358550503179256
BISPR,0.37217571807624483
BIVM,1.3179093062649976
BIVM_ERCC5,2.200805258849272
BLCAP,7.095508493409671
BLMH,2.6232317268152165
BLOC1S1,3.3187500503855683
BLOC1S1_RDH5,0.0
BLOC1S2,0.3077500938855583
BLOC1S3,1.429330584130236
BLOC1S4,2.2864996206103614
BLOC1S5_TXNDC5,2.8287939618464364
BLOC1S6,3.158833840149703
BLVRA,3.8064708962569163
BLVRB,5.602588881481042
BLZF1,1.5743342901563688
BMF,0.8856576719791854
BMI1,3.86108835881468
BMP1,1.0462724419194762
BMP2,0.7567151499788312
BMP4,2.4688336408593106
BMP5,0.6603074417464526
BMPER,0.6747673399554386
BMPR1A,2.0910024585878393
BMS1P20,1.032300981287101
BNIP1,1.9723474146157496
BNIP3,5.305301716551774
BNIP3L,2.6918603736283258
BOC,1.2345240378053004
BOD1,2.854270077169229
BOK,1.0644728150717961
BOLA1,3.647366427206131
BOLA3,5.1030675695060435
BOP1,2.745904792194634
BPGM,3.57881999217129
BPHL,2.4477513002059093
BRAT1,1.7779012773655065
BRCAT107,1.2690819915297165
BRCC3,2.4851553880111483
BRD1,2.6493197404784707
BRD2,3.952384823314741
BRD3,2.8733620418174546
BRD4,3.5181282053704983
BRD7,1.7186413103673546
BRD9,2.554296579161589
BRE,4.0851120610341844
BRE_AS1,0.1746414561095893
BRF1,2.4501170153669203
BRF2,3.535449819464941
BRI3,6.64644908809125
BRICD5,0.31550317366876923
BRIX1,2.171516714500439
BRMS1,2.0728242018367107
BROX,2.0787017177812865
BRWD1,1.34319307450279
BSDC1,1.5438815795054408
BSG,6.782760106062818
BST1,0.25712630658440583
BST2,2.9962566375222153
BTBD1,6.538132756249726
BTBD10,2.2449738236179515
BTBD2,4.353306115689527
BTBD3,1.962813846296175
BTD,1.8193103187305089
BTF3L4,3.062107480005985
BTG1,2.8739979704570593
BTG2,5.2155036373787755
BTG3,0.8268705645820893
BTK,0.024441022371253583
BTN2A1,2.1737990336501145
BTN2A2,0.5715774586795297
BTN3A1,1.7428288835203736
BTN3A2,1.8355657348720134
BTN3A3,1.4978889692486894
BTNL9,3.754796526170058
BUB3,2.7956853755660265
