,control
ARF1,6.99957152357733
ARF3,3.2976493958724395
ARF4,4.771619827779819
ARF5,5.431974732516263
ARFGAP1,3.0833607794675584
ARFGAP2,4.412564698396405
ARFGAP3,2.1941507361124177
ARFIP1,2.0524791932681263
ARFIP2,1.6331851988331412
ARFRP1,0.1512067946024262
ARG2,3.559527665995078
ARGLU1,4.734528845307707
ARHGAP1,3.6008553726287778
ARHGAP12,2.348339795726487
ARHGAP15,0.617557091431867
ARHGAP17,3.583799941582143
ARHGAP18,2.001820974133388
ARHGAP22,1.0529660167247612
ARHGAP23,2.168910269752737
ARHGAP24,2.3035554510164262
ARHGAP25,1.4513577811204408
ARHGAP27,1.5212975322593405
ARHGAP28,1.590471719519666
ARHGAP29,2.08643901321467
ARHGAP30,1.402447689462347
ARHGAP36,1.6069183100029085
ARHGAP4,1.318383948596157
ARHGAP5,1.3295897770334624
ARHGAP6,1.3662449886480437
ARHGAP9,0.7421614701398461
ARHGDIA,5.410211545270633
ARHGDIB,4.976823226791635
ARHGDIG,0.1903974124565866
ARHGEF1,1.6219543280589428
ARHGEF10L,3.6918893234384433
ARHGEF11,2.131417614937413
ARHGEF12,1.1407047198567026
ARHGEF15,1.8031253414524953
ARHGEF17,2.230289105130855
ARHGEF2,3.197179728184341
ARHGEF25,1.2476097818241103
ARHGEF3,1.7283981525124792
ARHGEF37,2.7647140862718245
ARHGEF39,2.5489526966077554
ARHGEF4,1.8265948561625696
ARHGEF40,1.754824663410967
ARHGEF6,3.7183884794713453
ARHGEF7,3.059139445647782
ARID1A,2.383888669212532
ARID1B,2.4491862911754616
ARID4A,1.0927155399707535
ARID4B,1.4612634647881642
ARID5A,3.878008229174768
ARID5B,2.27415906596182
ARL1,3.9131261821708163
ARL15,1.3308623951861838
ARL16,3.1786611067162953
ARL17A,1.4312538820801408
ARL2,5.716386920583116
ARL2BP,4.126552752190713
ARL2_SNX15,3.352725903043544
ARL4A,1.208200718640745
ARL4C,1.5447746875666044
ARL4D,1.9772605042359728
ARL5A,3.424041560655292
ARL6IP1,3.6761894256926357
ARL6IP4,4.353891716768111
ARL6IP5,6.780293850257726
ARL6IP6,1.680485947644226
ARL8A,3.4630368643359772
ARMC1,2.4038547715845526
ARMC10,2.211558008519597
ARMC5,1.904321081011669
ARMC6,2.522730724295725
ARMC7,1.8648897605533328
ARMC8,2.89369478839015
ARMCX1,4.428845071256693
ARMCX2,2.240215398281803
ARMCX3,3.510693730246965
ARMCX5,1.749508095120337
ARMCX5_GPRASP2,1.6027419132823908
ARMCX6,2.8305597753451015
ARMT1,2.729661308372634
ARNT,3.02032155318349
ARNT2,1.1283329986834356
ARNTL,1.0441737636518897
ARPC1A,3.930811031381467
ARPC1B,3.311870281712574
ARPC2,6.090412913656864
ARPC3,4.156833921858693
ARPC4,2.5353283859401783
ARPC4_TTLL3,0.0
ARPC5,3.7365699168638344
ARPC5L,4.978959753571201
ARPIN,1.9193202488246162
ARPP19,3.398308500933165
ARPP21,4.12649352972961
ARRB1,1.3394754947668555
ARRB2,2.3360456807034593
ARRDC1,2.254150766447156
ARRDC1_AS1,2.686857935116292
ARRDC2,4.117677507502497
ARRDC3,2.9353109445253986
ARRDC4,2.6577609487399183
ARSA,1.8486944412524955
ARSD,1.0835027293841757
ART1,1.0541135743964665
ART3,4.669003117366443
ART5,1.9000266855183174
ARV1,3.276714467861874
ARVCF,1.792656733919173
ARX,3.1026193342699635
ASAH1,5.200423763789933
ASAP1,1.465857477430082
ASAP2,1.5222978524563842
ASAP3,2.991271129810521
ASB10,3.881685564672964
ASB11,2.9634175248284453
ASB12,4.938506837613959
ASB13,2.598590549267464
ASB14,1.345419653635846
ASB15,2.0617115772238885
ASB16,3.1250714608512844
ASB16_AS1,2.261002382191405
ASB18,0.7754838118446694
ASB2,6.60455662408765
ASB3,1.565200867687033
ASB4,2.7901706506136494
ASB5,6.971071100307883
ASB6,0.8761408882553218
ASB8,5.884759665679679
ASCC1,0.2592411466900321
ASCC2,3.14942863482273
ASCL5,0.6309487097670883
ASF1A,2.6747209640213545
ASF1B,0.4285401361153331
ASH2L,2.889084488094598
ASL,0.9522873397414848
ASNA1,3.574532919628431
ASNS,1.1922067927557929
ASPA,1.5247693001013707
ASPH,4.910809590797499
